company,specific_bean_origin,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin_country
"Chocolate Tree, The",Peru,2013,70%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Ecuador,2012,82%,Scotland,2.5,Forastero (Arriba),Ecuador
"Chocolate Tree, The",Peru,2012,68%,Scotland,2.75,Criollo,Peru
"Chocolate Tree, The",Madagascar,2012,72%,Scotland,3.25,Criollo,Madagascar
Chocolats Privilege,Xoconusco,2014,70%,Canada,2.5,Criollo,Mexico
ChocoReko,Patanemo,2015,77%,Japan,3,Criollo,Venezuela
Chocovic,Xoconusco,2010,71%,Spain,3.25,Criollo,Mexico
Chocovic,Sambirano,2010,71%,Spain,3.5,Trinitario,Madagascar
Chocovic,Ocumare,2008,71%,Spain,3.5,Criollo,Venezuela
Chocovic,"Bolivar, Guaranda",2007,71%,Spain,2.5,Forastero (Arriba),Ecuador
Chocovic,Guyave,2007,71%,Spain,2.5,Trinitario,Grenada
Chocovivo,Tabasco,2015,65%,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,2015,75%,U.S.A.,2.5,Trinitario,Mexico
Choklat,Ocumare,2009,80%,Canada,2.5,Criollo,Venezuela
Choklat,"Porcelana, Tabasco",2009,70%,Canada,2.75,Criollo,Mexico
Choklat,Ocumare,2009,70%,Canada,3,Criollo,Venezuela
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",2011,68%,Canada,3.75,Forastero (Nacional),Peru
Chuao Chocolatier,Choroni,2009,61%,U.S.A.,3,Criollo,Venezuela
Chuao Chocolatier (Pralus),Chuao,2010,77%,U.S.A.,2.75,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,2010,73.50%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,2008,100%,Sao Tome,1,Forastero,Sao Tome & Principe
Coleman & Davis,Sambirano,2015,75%,U.S.A.,3,Trinitario,Madagascar
Compania de Chocolate (Salgado),Carenero Superior,2008,80%,Argentina,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Ocumare,2008,70%,Argentina,3.75,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,2008,88%,Argentina,2.75,Forastero (Nacional),Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",2016,78%,U.S.A.,2.75,Trinitario,Vietnam
Coppeneur,"Ecuador, Puristique",2013,65%,Germany,3.25,Forastero (Nacional),Ecuador
Coppeneur,Ghana Puristique,2012,85%,Germany,3.5,Forastero,Ghana
Coppeneur,Uba Budo,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Coppeneur,Madagascar,2012,70%,Germany,3.5,Trinitario,Madagascar
Coppeneur,Grenada,2010,72%,Germany,3.25,Trinitario,Grenada
Coppeneur,Chuao,2010,70%,Germany,3,Trinitario,Venezuela
Coppeneur,"Los Rios, H. Iara",2010,72%,Germany,2.5,Nacional,Ecuador
Coppeneur,Trinidad,2010,72%,Germany,3,Trinitario,Trinidad
Coppeneur,Jamaica,2010,72%,Germany,3.25,Trinitario,Jamaica
Coppeneur,Ocumare 61,2010,72%,Germany,3.25,Criollo (Ocumare 61),Venezuela
Coppeneur,"Porcelana, Apotequil",2009,72%,Germany,3,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",2009,62%,Germany,3.25,Criollo,Peru
Coppeneur,Chuao 100hr,2009,70%,Germany,3.5,"Criollo, Trinitario",Venezuela
Coppeneur,Chuao 70hr,2009,70%,Germany,3.75,"Criollo, Trinitario",Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",2008,72%,Germany,3,Criollo,Mexico
Coppeneur,"Porcelana, Venezuela",2008,72%,Germany,3,Criollo (Porcelana),Venezuela
Coppeneur,"Sambirano, Menava P.",2007,72%,Germany,3,Trinitario,Madagascar
Cravve,New Ireland,2014,70%,Australia,2.5,Forastero,Papua New Guinea
Cravve,"Vanuatu, batch 2410",2014,83%,Australia,2.75,Trinitario,Vanuatu
Cravve,"Tanzania, batch a1",2012,75%,Australia,3.25,Forastero,Tanzania
Cravve,"Bahia, batch a1213",2012,65%,Australia,3.25,Trinitario,Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",2012,67%,Australia,3.25,Trinitario,Fiji
Cravve,Vanuatu,2012,64%,Australia,3.25,Trinitario,Vanuatu
Cravve,Djual Island,2012,75%,Australia,3.5,Forastero,Papua New Guinea
Creo,"""heirloom"", Arriba Nacional",2016,85%,U.S.A.,3.25,Forastero (Nacional),Ecuador
Creo,"""heirloom"", Arriba Nacional",2016,73%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Damson,Robson Estate,2015,70%,U.K.,3,Trinitario,Trinidad
Dandelion,"Maya Mtn., Break Bar- Snark",2015,70%,U.S.A.,3,Trinitario,Belize
Dandelion,Maya Mountain,2014,70%,U.S.A.,3.5,Trinitario,Belize
Dandelion,Madagascar,2011,70%,U.S.A.,3.25,Trinitario,Madagascar
Danta,Chuao,2012,75%,Guatemala,3,Trinitario,Venezuela
Danta,Sambirano,2012,70%,Guatemala,3.75,Trinitario,Madagascar
Danta,Las Acacias E.,2012,70%,Guatemala,4,Criollo,Guatemala
Danta,Las Acacias E.,2009,75%,Guatemala,3,Criollo,Guatemala
Danta,Las Acacias E.,2009,60%,Guatemala,3.25,Criollo,Guatemala
DAR,Vietnam,2016,72%,U.S.A.,3,Trinitario,Vietnam
Dark Forest,Madagascar,2015,70%,U.S.A.,3,Trinitario,Madagascar
Davis,Ghana,2013,70%,U.S.A.,2.5,Forastero,Ghana
Davis,West Africa,2012,58%,U.S.A.,3.25,Forastero,West Africa
De Villiers,Bundibugyo District,2016,70%,South Africa,2.5,Forastero,Uganda
Dean and Deluca (Belcolade),Madagascar,2007,66%,U.S.A.,2.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Ghana,2007,60%,U.S.A.,3,Forastero,Ghana
DeVries,Costa Rica,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
Dick Taylor,Tien Giang,2016,78%,U.S.A.,3.5,Trinitario,Vietnam
Dick Taylor,Belize,2012,72%,U.S.A.,2.75,Trinitario,Belize
Dick Taylor,Sambirano,2011,80%,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Sambirano,2011,72%,U.S.A.,3,Trinitario,Madagascar
Dick Taylor,Mantuano,2011,75%,U.S.A.,2.75,Criollo,Venezuela
Doble & Bignall,"Puerto Cabello, Mantuano",2014,72%,U.K.,3.25,Trinitario,Venezuela
Doble & Bignall,Johe,2014,72%,U.K.,3.5,"Criollo, Trinitario",Nicaragua
Dolfin (Belcolade),Africa,2008,88%,Belgium,3,Forastero,West Africa
Domori,Ocumare 77,2015,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
Domori,"IL100, H. San Jose",2013,100%,Italy,3,Criollo,Venezuela
Domori,Guasare,2012,70%,Italy,3.75,Criollo,Venezuela
Domori,"Canoabo, Hacienda San Jose",2011,70%,Italy,3.5,Criollo,Venezuela
Domori,"Chuao, Hacienda San Jose",2010,70%,Italy,3,Trinitario,Venezuela
Domori,"Carupano, H. San Jose",2008,70%,Italy,3,Trinitario,Venezuela
Domori,Porcelana,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Domori,"Ocumare 61, Puertomar",2007,75%,Italy,3.25,Criollo (Ocumare 61),Venezuela
Domori,Granella,2007,60%,Italy,3.25,Trinitario,Venezuela
Domori,Madagascar,2007,70%,Italy,3.5,Trinitario,Madagascar
Domori,Madagared,2007,70%,Italy,3.5,Criollo,Madagascar
Domori,"Java, Javablond",2007,70%,Italy,3.75,Criollo,Indonesia
Domori,Ecuador,2007,70%,Italy,4,Forastero (Arriba),Ecuador
Domori,"Ocumare 67, Puertofino",2007,70%,Italy,4,Criollo (Ocumare 67),Venezuela
Domori,Sur del Lago Classificado,2006,70%,Italy,3,Trinitario,Venezuela
Domori,Apurimac,2006,70%,Italy,3.25,Trinitario,Peru
Domori,Carenero Superior,2006,70%,Italy,3.5,Trinitario,Venezuela
Dormouse,Non Pariel Estate,2016,75%,U.K.,2.75,Trinitario,Grenada
Dormouse,"Rio Caribe, Batch 7",2015,70%,U.K.,2.5,Trinitario,Venezuela
Dormouse,"Colombia, Batch 9",2015,80%,U.K.,2.75,"Criollo, Trinitario",Colombia
Dormouse,"Madagascar, Batch 8",2015,77%,U.K.,2.75,"Criollo, Trinitario",Madagascar
Duffy's,"Rio Dulce, Xoco",2015,70%,U.K.,4,Criollo,Guatemala
Duffy's,"Chuno, Xoco",2014,70%,U.K.,3.5,Criollo,Nicaragua
Duffy's,"Rico Rugoso, Xoco",2014,76%,U.K.,3.75,Criollo,Nicaragua
Duffy's,"Indio Rojo, Xoco",2011,72%,U.K.,3.75,Criollo,Honduras
Duffy's,"Nicaliso, Xoco",2011,71%,U.K.,3.25,Criollo,Nicaragua
Durand,Madagascar,2012,82%,France,2.75,Trinitario,Madagascar
Durci,"Maranon, Joya Rara",2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Durci,"Rio Caribe, Tepui Treasure",2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Durci,"Carenero, Empyrean Sabor",2015,70%,U.S.A.,3.25,Trinitario,Venezuela
East Van Roasters,Madagascar,2014,70%,Canada,3.5,Trinitario,Madagascar
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",2012,72%,U.S.A.,2.75,Forastero (Nacional),Peru
Edelmond,Porcelana,2016,68%,Germany,3,Criollo,Venezuela
El Rey,"Rio Caribe, Cariaco",2009,60.50%,Venezuela,2.75,Trinitario,Venezuela
El Rey,"Rio Caribe, Macuro",2009,70%,Venezuela,3,Trinitario,Venezuela
El Rey,"Carenero Superior, Apamate",2008,74%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Bucare",2008,58%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Mijao",2008,61%,Venezuela,3,Criollo,Venezuela
El Rey,"Carenero Superior, Gran Saman",2006,70%,Venezuela,2.75,Criollo,Venezuela
Emily's,Peru,2015,78%,Japan,3.5,Criollo,Peru
